,PM2.5,temperature,pressure,rain,wind_direction,wind_speed,Date
0,4.0,-0.7,1023.7,0.0,NNW,4.4,2013-01-03 00:00:00
1,8.0,-1.1,1023.2,0.0,N,4.4,2013-01-03 01:00:00
2,7.0,-1.1,1023.5,0.0,NNW,5.6,2013-01-03 02:00:00
3,6.0,-1.4,1024.5,0.0,NW,3.1,2013-01-03 03:00:00
4,3.0,-2.0,1025.2,0.0,N,2.0,2013-01-03 04:00:00
5,5.0,-2.2,1025.6,0.0,N,3.7,2013-01-03 05:00:00
6,3.0,-2.6,1026.5,0.0,NNE,2.5,2013-01-03 06:00:00
7,3.0,-1.6,1027.4,0.0,NNW,3.8,2013-01-03 07:00:00
8,3.0,0.1,1028.3,0.0,NNW,4.1,2013-01-03 08:00:00
9,3.0,1.2,1028.5,0.0,N,2.6,2013-01-03 09:00:00
10,3.0,1.9,1028.2,0.0,NNW,3.6,2013-01-03 10:00:00
11,3.0,1.9,1028.2,0.0,N,3.6,2013-01-03 11:00:00
12,3.0,3.9,1027.3,0.0,NNW,5.1,2013-01-03 12:00:00
13,3.0,5.3,1026.2,0.0,NW,4.3,2013-01-03 13:00:00
14,6.0,6.0,1025.9,0.0,NW,4.4,2013-01-03 14:00:00
15,8.0,6.2,1025.7,0.0,NNE,2.8,2013-01-03 15:00:00
16,9.0,5.9,1025.6,0.0,NNW,3.9,2013-01-03 16:00:00
17,10.0,4.3,1026.3,0.0,NNE,2.8,2013-01-03 17:00:00
18,11.0,3.1,1027.4,0.0,NNE,2.1,2013-01-03 18:00:00
19,8.0,2.3,1028.3,0.0,NNE,2.8,2013-01-03 19:00:00
20,11.0,1.7,1029.1,0.0,N,2.1,2013-01-03 20:00:00
21,12.0,0.6,1030.1,0.0,ENE,0.8,2013-01-03 21:00:00
22,12.0,0.9,1030.5,0.0,ENE,1.8,2013-01-03 22:00:00
23,24.0,-0.2,1030.5,0.0,ENE,1.4,2013-01-03 23:00:00
744,226.0,6.6,1009.5,0.0,NE,0.8,2013-01-04 00:00:00
745,233.0,6.6,1008.6,0.0,ESE,0.7,2013-01-04 01:00:00
746,240.0,6.4,1008.6,0.0,E,1.1,2013-01-04 02:00:00
747,242.0,5.5,1007.9,0.0,E,0.8,2013-01-04 03:00:00
748,242.0,4.6,1007.5,0.0,ENE,0.5,2013-01-04 04:00:00
749,238.0,3.4,1007.9,0.0,NE,0.5,2013-01-04 05:00:00
750,238.0,5.0,1008.5,0.0,WNW,2.3,2013-01-04 06:00:00
751,228.0,11.9,1008.2,0.0,NW,4.0,2013-01-04 07:00:00
752,68.0,12.7,1009.2,0.0,NW,5.1,2013-01-04 08:00:00
753,16.0,11.9,1010.0,0.0,N,4.8,2013-01-04 09:00:00
754,13.0,12.2,1010.9,0.0,NNW,6.7,2013-01-04 10:00:00
755,20.0,14.7,1010.6,0.0,N,4.3,2013-01-04 11:00:00
756,27.0,15.7,1011.1,0.0,NNW,5.2,2013-01-04 12:00:00
757,36.0,16.1,1011.2,0.0,NNW,7.3,2013-01-04 13:00:00
758,34.0,16.7,1011.5,0.0,NNW,6.2,2013-01-04 14:00:00
759,43.0,16.5,1012.3,0.0,N,6.3,2013-01-04 15:00:00
760,43.0,15.9,1013.0,0.0,NNE,4.5,2013-01-04 16:00:00
761,15.0,14.6,1013.7,0.0,N,2.7,2013-01-04 17:00:00
762,13.0,12.8,1014.5,0.0,NNE,2.6,2013-01-04 18:00:00
763,13.0,11.5,1015.7,0.0,NNE,1.4,2013-01-04 19:00:00
764,10.0,10.4,1017.2,0.0,NNE,2.4,2013-01-04 20:00:00
765,14.0,9.9,1017.6,0.0,NE,1.9,2013-01-04 21:00:00
766,13.0,6.0,1017.6,0.0,NE,1.1,2013-01-04 22:00:00
767,13.0,3.4,1018.1,0.0,S,0.5,2013-01-04 23:00:00
1464,41.0,14.1,1012.2,0.0,SE,1.0,2013-01-05 00:00:00
1465,27.0,11.8,1012.6,0.0,NE,1.2,2013-01-05 01:00:00
1466,23.0,10.5,1012.8,0.0,NNE,1.1,2013-01-05 02:00:00
1467,24.0,9.4,1012.5,0.0,NNE,0.0,2013-01-05 03:00:00
1468,24.0,8.2,1012.6,0.0,ENE,0.5,2013-01-05 04:00:00
1469,26.0,7.8,1012.7,0.0,N,0.0,2013-01-05 05:00:00
1470,25.0,11.4,1012.7,0.0,WSW,0.5,2013-01-05 06:00:00
1471,36.0,15.6,1012.8,0.0,SW,1.1,2013-01-05 07:00:00
1472,34.0,17.6,1012.4,0.0,WSW,1.5,2013-01-05 08:00:00
1473,37.0,19.9,1011.8,0.0,ESE,2.4,2013-01-05 09:00:00
1474,26.0,21.4,1010.9,0.0,SSE,0.9,2013-01-05 10:00:00
1475,31.0,21.7,1009.6,0.0,W,2.0,2013-01-05 11:00:00
1476,33.0,23.3,1008.5,0.0,SSW,2.3,2013-01-05 12:00:00
1477,37.0,23.7,1007.3,0.0,SW,3.7,2013-01-05 13:00:00
1478,40.0,23.9,1006.6,0.0,WSW,3.7,2013-01-05 14:00:00
1479,38.0,23.4,1006.3,0.0,SSW,3.0,2013-01-05 15:00:00
1480,31.0,22.4,1006.1,0.0,SW,4.1,2013-01-05 16:00:00
1481,40.0,21.3,1006.0,0.0,SW,3.5,2013-01-05 17:00:00
1482,35.0,20.0,1006.4,0.0,SSW,2.8,2013-01-05 18:00:00
1483,39.0,19.3,1006.6,0.0,SW,3.1,2013-01-05 19:00:00
1484,39.0,18.4,1006.6,0.0,SSW,2.1,2013-01-05 20:00:00
1485,40.0,17.9,1007.1,0.0,SW,2.4,2013-01-05 21:00:00
1486,56.0,17.6,1007.1,0.0,S,1.5,2013-01-05 22:00:00
1487,61.0,17.1,1007.1,0.0,SSW,2.5,2013-01-05 23:00:00
2206,115.0,20.0,998.0,0.0,WSW,0.0,2013-01-06 00:00:00
2207,114.0,19.5,998.5,0.0,NNW,0.5,2013-01-06 01:00:00
2208,123.0,18.5,998.5,0.0,NNE,0.8,2013-01-06 02:00:00
2209,135.0,18.2,999.1,0.0,NE,0.8,2013-01-06 03:00:00
2210,127.0,18.4,999.9,0.0,NE,0.9,2013-01-06 04:00:00
2211,133.0,19.0,1001.0,0.0,NNE,1.3,2013-01-06 05:00:00
2212,139.0,20.5,1001.5,0.0,NNE,1.7,2013-01-06 06:00:00
2213,134.0,22.7,1001.9,0.0,NNE,1.8,2013-01-06 07:00:00
2214,124.0,26.7,1001.9,0.0,NNE,2.4,2013-01-06 08:00:00
2215,99.0,28.6,1001.9,0.0,ESE,1.5,2013-01-06 09:00:00
2216,92.0,29.8,1001.6,0.0,ENE,2.1,2013-01-06 10:00:00
2217,53.0,30.8,1001.2,0.0,NNW,1.8,2013-01-06 11:00:00
2218,27.0,30.2,1000.9,0.0,NNE,0.7,2013-01-06 12:00:00
2219,27.0,29.9,1000.4,0.0,E,0.9,2013-01-06 13:00:00
2220,18.0,30.6,999.8,0.0,SSW,0.5,2013-01-06 14:00:00
2221,23.0,30.5,1000.4,0.0,ESE,1.7,2013-01-06 15:00:00
2222,16.0,29.7,1001.0,0.0,N,3.5,2013-01-06 16:00:00
2223,17.0,27.9,1001.1,0.0,NNE,2.7,2013-01-06 17:00:00
2224,3.0,26.3,1002.2,0.0,NE,0.6,2013-01-06 18:00:00
2225,10.0,24.0,1001.7,0.0,E,0.5,2013-01-06 19:00:00
2226,20.0,24.8,1002.2,0.0,SSE,2.2,2013-01-06 20:00:00
